题目：,考核点（请填报统一考核点内容）：,难度：,试题解析：（请填报题目涉及的制度原文+制度名称及第x条）,正确答案,,,,,
金融机构产品风险等级应由低到高至少分为五级。,适当性管理,易,“产品风险等级由低到高至少包括一级至五级。”——《金融机构产品适当性管理办法》第二十二条,正确,,,,,
金融机构可以将销售业绩作为销售人员的唯一考核指标。,适当性管理,易,“金融机构应当构建科学合理的销售人员激励约束机制，考核标准应当包括但不限于销售行为和程序的合规性、客户投诉情况等，不得以销售业绩作为唯一考核标准。”——《金融机构产品适当性管理办法》第十六条,错误,,,,,
客户拒绝提供必要信息时，金融机构可以拒绝销售产品。,适当性管理,易,“客户应当遵守诚实信用原则，真实、准确、完整地提供购买产品所必需的信息。客户拒绝按照上述要求提供信息的，金融机构可以拒绝向销售或者与其交易该产品。”——《金融机构产品适当性管理办法》第十条,正确,,,,,
个人信息主体有权每年两次免费获取本人的信用报告。,个人信息保护,易,《征信业管理条例》第十七条明确，个人信息主体有权每年两次免费向征信机构查询自身信用报告。选项内容与条例原文表述一致。,正确,,,,,
信用卡逾期后注销就可以抹去不良信用记录。,金融基础知识,易,信用卡逾期记录一旦产生，会保留在个人征信报告中，不会因注销信用卡而消除。《征信业管理条例》第十六条规定，不良信息自不良行为或事件终止之日起保存5年。逾期后注销卡片无法改变已存在的信用记录，反而可能影响后续信用修复。征信系统记录的是账户状态和还款历史，与卡片是否注销无关。,错误,,,,,
银行保险机构可以允许第三方合作机构在营业网点或者自营网络平台以银行保险机构的名义向消费者推介或者销售产品和服务。,综合类,易,银行保险机构不得允许第三方合作机构在营业网点或者自营网络平台以银行保险机构的名义向消费者推介或者销售产品和服务。--《银行保险机构消费者权益保护管理办法》（银保监9号令）第二十五条,错误,,,,,
银行因业务需要收集消费者个人金融信息，无需取得消费者同意。（）,个人信息保护,易,"“处理个人信息应当取得个人同意，法律、行政法规另有规定的除外。金融机构收集个人金融信息，属于处理个人信息范畴，应当遵循合法、正当、必要原则，事先取得消费者明确同意，方可收集”。
－《中华人民共和国个人信息保护法》，第13条",错误,,,,,
处理个人信息应当遵循公开、透明原则，公开个人信息处理规则，明示处理的目的、方式和范围。,个人信息保护,易,《中华人民共和国个人信息保护法》第七条 处理个人信息应当遵循公开、透明原则，公开个人信息处理规则，明示处理的目的、方式和范围。,正确,,,,,
某快递公司为提高配送效率，在未告知收件人且未取得同意的情况下，将收件人的姓名、电话、收货地址等信息共享给合作的生鲜电商用于精准营销，该行为符合《中华人民共和国个人信息保护法》规定。（ ）,个人信息保护,易,个人信息处理者向其他个人信息处理者提供其处理的个人信息的，应当向个人告知接收方的名称或者姓名、联系方式、处理目的、处理方式和个人信息的种类，并取得个人的单独同意；接收方应当在上述范围内处理个人信息。-《中华人民共和国个人信息保护法》第二十三条,错误,,,,,
金融机构可以向无民事行为能力人销售或者交易产品。,适当性管理,易,"“金融机构不得向无民事行为能力人销售或者与其交易产品。经法定代理人同意，可以向限制民事行为能力人销售或者与其交易低风险产品。”
——《金融机构产品适当性管理办法》第十九条",错误,,,,,
客户应当在了解产品，听取金融机构适当性匹配意见的基础上，根据自身情况自主选择、审慎决策，并承担风险。,适当性管理,易,"客户应当在了解产品，听取金融机构适当性匹配意见的基础上，根据自身情况自主选择、审慎决策，并承担风险。
——《金融机构产品适当性管理办法》第五条",正确,,,,,
组织、策划、实施、参与电信网络诈骗活动或者为电信网络诈骗活动提供帮助，构成犯罪的，依法追究刑事责任。,反诈防骗,易,"组织、策划、实施、参与电信网络诈骗活动或者为电信网络诈骗活动提供帮助，构成犯罪的，依法追究刑事责任。
——《中华人民共和国反电信网络诈骗法》第三十八条",正确,,,,,
保险公司对于投保人的个人信息，应当予以保密。,个人信息保护,易,"""保险公司及其工作人员在保险业务活动中不得泄露在业务活动中知悉的投保人、被保险人的商业秘密和个人隐私。""
——《中华人民共和国保险法》第一百一十六条",正确,,,,,
非法集资的参与者可以得到全额本金返还。,非法集资,易,“因参与非法集资受到的损失，由集资参与人自行承担。”——《防范和处置非法集资条例》第25条,错误,,,,,
根据《中华人民共和国个人信息保护法》，个人信息的保存期限没有统一规定，可由处理者根据业务需要自行决定。,个人信息保护,易,此说法错误。《中华人民共和国个人信息保护法》第十九条明确规定，个人信息的保存期限应当为实现处理目的所必要的最短时间。法律对保存期限有严格的“最短必要”原则，并非由处理者任意决定。,错误,,,,,
将银行账户借给朋友使用不会产生法律风险。,金融基础知识,易,“出租、出借银行账户属于违法行为。”——《人民币银行结算账户管理办法》第六十五条,错误,,,,,
非法集资，是指未经国务院金融管理部门依法许可或者违反国家金融管理规定，以许诺还本付息或者给予其他投资回报等方式，向特定对象吸收资金的行为。,非法集资,易,"“本条例所称非法集资，是指未经国务院金融管理部门依法许可或者违反国家金融管理规定，以许诺还本付息或者给予其他投资回报等方式，向不特定对象吸收资金的行为。”
——《防范和处置非法集资条例》第二条第一款",错误,,,,,
除国家另有规定外，任何单位和个人不得发布包含集资内容的广告或者以其他方式向社会公众进行集资宣传。,非法集资,易,"“除国家另有规定外，任何单位和个人不得发布包含集资内容的广告或者以其他方式向社会公众进行集资宣传。”
——《防范和处置非法集资条例》第十一条",正确,,,,,
银行保险机构收集消费者个人信息应当向消费者告知收集使用的目的、方式和范围等规则，并经消费者同意，法律法规另有规定的除外。消费者不同意的，银行保险机构应当拒绝提供不依赖于其所拒绝授权信息的金融产品或服务。,个人信息保护,易,"“银行保险机构收集消费者个人信息应当向消费者告知收集使用的目的、方式和范围等规则，并经消费者同意，法律法规另有规定的除外。消费者不同意的，银行保险机构不得因此拒绝提供不依赖于其所拒绝授权信息的金融产品或服务。
银行保险机构不得采取变相强制、违规购买等不正当方式收集使用消费者个人信息。”
——《银行保险机构消费者权益保护管理办法》第四十三条",错误,,,,,
银行保险机构通过线上渠道使用格式条款获取个人信息授权的，可以设置默认同意的选项。,个人信息保护,易,"“对于使用书面形式征求个人信息处理同意的，银行保险机构应当以醒目的方式、清晰易懂的语言明示与消费者存在重大利害关系的内容。
银行保险机构通过线上渠道使用格式条款获取个人信息授权的，不得设置默认同意的选项。”
——《银行保险机构消费者权益保护管理办法》第四十四条",错误,,,,,
银行保险机构应当加强从业人员行为管理，禁止违规查询、下载、复制、存储、篡改消费者个人信息。,个人信息保护,易,"“银行保险机构应当加强从业人员行为管理，禁止违规查询、下载、复制、存储、篡改消费者个人信息。从业人员不得超出自身职责和权限非法处理和使用消费者个人信息。”
——《银行保险机构消费者权益保护管理办法》第四十八条",正确,,,,,
收集个人信息，应当限于实现处理目的的最小范围，不得过度收集个人信息。,个人信息保护,易,"“处理个人信息应当具有明确、合理的目的，并应当与处理目的直接相关，采取对个人权益影响最小的方式。
收集个人信息，应当限于实现处理目的的最小范围，不得过度收集个人信息。”
——《中华人民共和国个人信息保护法》第六条",正确,,,,,
消费者有权每年免费查询个人信用报告2次。,金融基础知识,易,“个人每年有权免费查询本人信用报告2次。”——《征信业管理条例》第十七条,正确,,,,,
征信机构可以未经同意向第三方提供个人信用报告。,金融基础知识,易,“征信机构提供信用报告应当取得信息主体同意。”——《征信业管理条例》第十八条,错误,,,,,
遇到“冒充公检法”要求转账的电话，应立即按对方要求操作，以免被处罚。,反诈防骗,易,“冒充公检法”转账是典型电信诈骗，公检法机关不会通过电话要求转账，也不存在“不转账就处罚”的情况。正确做法是挂断电话并拨打110核实，按对方要求操作会导致财产损失。,错误,,,,,
根据《金融机构产品适当性管理办法》，金融机构可以委托第三方机构代为完成投资者风险承受能力评估。,适当性管理,易,"“金融机构在推介、销售或者交易过程中，禁止下列行为：（一）代替客户进行评估……”
——国家金融监督管理总局2025年8月发布的《金融机构产品适当性管理办法》第三章第十三条。",错误,,,,,
