题目：,考核点：,难度：,试题解析：,正确答案,答案A,答案B,答案C,答案D,答案E
“这是XX银行，您的银行账号已被盗，请重新发送您的账号和密码至XXXX，完成转账”，收到此类短信后你会怎么做？（  ）,反诈防骗,易,无,B,肯定是真的，按照指示去做,常见诈骗手段，不予理睬,安全起见，先转再查是否真实,,
《反洗钱法》规定，任何单位和个人发现洗钱活动，有权向（ ?）举报。接受举报的机关应当对举报人和举报内容保密。,反诈防骗,易,《反洗钱法（修订草案）》第九条第二、三款：任何单位和个人发现洗钱活动，有权向反洗钱行政主管部门、公安机关或者国家有关机关举报。接受举报的机关应当对举报人和举报内容保密。,C,司法机关,当地保监局,中国人民银行当地分支行,,
《中华人民共和国反电信网络诈骗法》明确，电信业务经营者应当依法全面落实电话用户（  ）登记制度。,反诈防骗,易,《中华人民共和国反电信网络诈骗法》明确，电信业务经营者应当依法全面落实电话用户真实身份信息登记制度。,A,真实身份信息,亲属,同事,好友,
"《中华人民共和国消费者权益保护法》规定，保护消费者的合法权益是（）。
",金融基础知识,易,《中华人民共和国消费者权益保护法》规定，保护消费者的合法权益是全社会共同的责任。,D,商家的责任,政府的责任,消费者协会的责任,全社会共同的责任,
"市民张先生报称在手游交易平台进行账号交易,其将账号交给平台审核 ,后对方称其账号被冻结，需要解冻，其充值800元后被骗，请问这是什么诈骗类型？",反诈防骗,易,无,B,网络交友,买卖游戏账号诈骗,投资诈骗,,
96100是什么电话，接到要怎么处理（  ）,反诈防骗,易,全国反诈电话“96110”是公安部刑侦局推出的全国统一预警劝阻咨询专线电话“96110”，如遇到此号码打来的电话，务必接听，若发现犯罪线索，也可拨打此号码举报 。,D,骚扰电话，挂断,银行客服电话，挂断,推销电话，挂断,反电诈号码，接听,
保险公司的资金运用必须稳健，遵循    性原则。,金融基础知识,易,保险公司作为社会稳定器，保险资金运用必须稳健，安全。,A,安全,盈利,稳定,合规 ,
保险公司在产品说明书和其他宣传材料中演示保单利益时，应当采用（   ）档演示新型产品未来的利益给付。,金融基础知识,易,无,D,高  ,中,低,以上都是,
保险合同当事人中投保人的最基本的义务是（  ）,金融基础知识,易,无,B,如实告知义务,交付保险费义务,维护保险标的安全的义务      ,保险事故发生的通知义务,
保险合同是()与()约定保险权利义务关系的协议。,金融基础知识,易,社会关注热点,B,投保人、被保险人,投保人、保险人,保险人、被保险人,投保人、受益人,
保险机构发现违法事实，涉嫌犯罪需要依法追究刑事责任的，应及时向（）报案。,反诈防骗,易,反保险欺诈指引,B,法院,公安机关,检查机关,保险监察机构,
保险事故是指（）的保险责任范围内的事故。,金融基础知识,易,无,C,产品资料宣传,保险活动当事人商议,保险合同约定,销售人员口头承诺,
保障金融消费者受尊重权，以下哪一项不属于受尊重权（  ）,金融消费者八项权益,易,金融消费者的受尊重权是指金融机构应当尊重金融消费者的人格尊严和民俗习惯，不得因金融消费者性别、年龄、种族、民族或者国籍等不同进行歧视性差别对待。,A,充分尊重金融消费者意愿,"尊重金融消费者的人格尊严和民族风俗习惯
",不得因金融消费者性别、年龄、种族、民族或国籍等不同进行歧视性差别对待,不得使用歧视性或者违背公序良俗的表述,
不变相强制收集消费者个人信息，防控信息泄露风险属于（  ）,金融消费者八项权益,易,信息安全权要求金融机构不变相强制收集消费者个人信息，防控信息泄露风险。,C,受尊重权,公平交易权,信息安全权,自主选择权,
不属于非法集资特征的是（  ）,非法集资,易,非法集资不具备合法性,D,非法性,利诱性,社会性,合法性,
不应设置违反公平原则的交易条件，不得限制消费者寻求法律救济途径属于（  ）,金融消费者八项权益,易,公平交易权要求金融机构不得设置违反公平原则的交易条件，在格式合同中不得加重金融消费者责任、限制或者排除金融消费者的合法权利，不得限制金融消费者寻求法律救济途径，不得减轻、免除本机构损害金融消费者合法权益应当承担的民事责任。,B,知情权,公平交易权,财产安全权,自主选择权,
产品宣传材料应（）地反映产品的主要特性，严禁夸大收益率或隐瞒重要风险信息。,金融基础知识,易,产品宣传材料应真实、全面地反映产品的主要特性，严禁夸大收益率或隐瞒重要风险信息。,A,真实、全面,系统、特色,真实、特色,全面、系统,
