题目：,考核点（请填报统一考核点内容）：,难度：,试题解析：（请填报题目涉及的制度原文+制度名称及第x条）,正确答案,答案A,答案B,答案C,答案D,答案E,答案F,,,,
依据《银行保险机构消费者权益保护管理办法》，银行保险机构不得从贷款本金中预先扣除什么？,金融消费者八项权益,易,"“银行保险机构应当保障消费者公平交易权，不得存在下列情形：（三）从贷款本金中预先扣除利息”
——《银行保险机构消费者权益保护管理办法》（银保监9号令）第二十八条",B,手续费,利息, 服务费,工本费,管理费,,,,,
《银行保险机构消费者权益保护管理办法》规定，银行保险机构不得在格式合同中不合理地加重谁的责任？,金融消费者八项权益,易,“银行保险机构应当保障消费者公平交易权，不得存在下列情形：（一）在格式合同中不合理地加重消费者责任、限制或者排除消费者合法权利；”——《银行保险机构消费者权益保护管理办法》（银保监9号令）第二十八条,C,机构自身,第三方,消费者,监管机构,,,,,,
处理不满十四周岁未成年人个人信息的，应当取得谁的同意？,个人信息保护,易,"“个人信息处理者处理不满十四周岁未成年人个人信息的，应当取得未成年人的父母或者其他监护人的同意。”
——《中华人民共和国个人信息保护法》第三十一条",A,未成年人的父母或其他监护人,未成年人本人,学校或教育机构,无需同意,,,,,,
"根据我国个人信息保护相关法律规定，处理个人信息应当遵循 “最小必要” 原则，即收集信息应仅限于实现处理目的的最小范围，不得过度收集。这一要求的核心法律依据是（ ）？
","个人信息保护
",易,"“处理个人信息应当具有明确、合理的目的，并应当与处理目的直接相关，采取对个人权益影响最小的方式。收集个人信息，应当限于实现处理目的的最小范围，不得过度收集个人信息。”
——《中华人民共和国个人信息保护法》第六条",B,《网络安全法》, 《中华人民共和国个人信息保护法》,《数据安全法》,《消费者权益保护法》,,,,,,
"根据我国专门防范电信网络诈骗的法律规定，以下哪种行为是明确被禁止的？（ ）
",反诈防骗,易,"“任何单位和个人不得非法买卖、出租、出借电话卡、物联网卡、电信线路、短信端口、银行账户、支付账户、互联网账号等，不得提供实名核验帮助；不得假冒他人身份或者虚构代理关系开立上述卡、账户、账号等。”
——《中华人民共和国反电信网络诈骗法》第三十一条",B,"实名办理个人银行账户
",出租本人名下的银行卡给他人使用,接听反诈预警劝阻电话 96110,向公安机关举报疑似诈骗线索,,,,,,
根据《商业银行法》，商业银行办理个人储蓄存款业务，应当遵循的原则是（ ）。,金融基础知识,易,"“商业银行办理个人储蓄存款业务，应当遵循存款自愿、取款自由、存款有息、为存款人保密的原则。”
——《中华人民共和国商业银行法》第二十九条",A,存款自愿、取款自由、存款有息、为存款人保密,存款自愿、取款自由、存款有息、信息公开,存款强制、取款自由、存款有息、为存款人保密,存款自愿、取款审批、存款有息、为存款人保密,,,,,,
保险公司在订立保险合同时，应当向投保人说明合同的内容，这体现了保险消费者的（ ）。,综合类,易,"“订立保险合同，采用保险人提供的格式条款的，保险人向投保人提供的投保单应当附格式条款，保险人应当向投保人说明合同的内容。”
——《中华人民共和国保险法》第十七条",B,公平交易权,知情权,自主选择权,依法求偿权,,,,,,
根据《金融机构产品适当性管理办法》，金融机构在推介、销售或交易过程中，以下哪种行为是被禁止的？,适当性管理,易,"“金融机构在推介、销售或者交易过程中，禁止下列行为：
（一）代替客户进行评估，进行不当提示，先销售或者交易后评估，或者通过其他形式影响评估结果真实性、有效性；
（二）对客户进行告知、风险提示时，内容存在虚假、误导或者重大遗漏，包括但不限于混淆存款、理财、基金、信托、保险等产品，违规承诺保本保收益，夸大产品收益或者保障范围等；
（三）主动推介风险等级高于客户风险承受能力的产品，欺骗、误导客户购买或者交易不具备适当性的产品；
（四）通过操纵业绩或者不当展示等方式误导或者诱导客户购买有关产品；
（五）其他违反适当性要求，损害客户合法权益的行为。”
——《金融机构产品适当性管理办法》第十三条",A,代替客户进行评估，进行不当提示,提供详细的产品信息和风险提示,根据客户需求推荐合适的产品,在客户同意后进行产品交易,,,,,,
根据《金融机构产品适当性管理办法》，金融机构在销售产品时应如何管理销售人员资质？,适当性管理,易,"“金融机构应当强化销售人员资质管理，确保销售人员具备相应的产品销售资质。
金融机构应当对销售人员持续开展培训，确保销售人员充分了解所销售或者交易产品的属性特征及风险水平。
金融机构应当构建科学合理的销售人员激励约束机制，考核标准应当包括但不限于销售行为和程序的合规性、客户投诉情况等，不得以销售业绩作为唯一考核指标。”
——《金融机构产品适当性管理办法》第十六条",A,确保销售人员具备相应的产品销售资质,仅需销售人员了解产品的基本信息,销售人员无需具备任何资质,销售人员资质由客户自行审核,,,,,,
金融机构积极组织或参与金融知识普及活动，帮助金融消费者提高对金融产品和服务的认知能力及自我保护能力，提升金融消费者金融素养和诚实守信意识。属于保障金融消费者的（        ）。,金融消费者八项权益,易,"“保障金融消费者受教育权。金融机构应当进一步强化金融消费者教育，积极组织或参与金融知识普及活动，开展广泛、持续的日常性金融消费者教育，帮助金融消费者提高对金融产品和服务的认知能力及自我保护能力，提升金融消费者金融素养和诚实守信意识。”
——《国务院办公厅关于加强金融消费者权益保护工作的指导意见》三、（八）",A,受教育权,知情权,受尊重权,公平交易权,,,,,,
