题目：,考核点：,难度：,试题解析：,正确答案：,
“套路贷”的“借款”是被告人侵吞被害人房产财产的借口，所以“套路贷”是以“借款”为名行非法占有被害人财物之实。而高利贷出借人希望借款人按约定支付高额利息并返还本金，目的是为了获取高额利息,反诈防骗,易, “套路贷”的“借款”是被告人侵吞被害人房产财产的借口，所以“套路贷”是以“借款”为名行非法占有被害人财物之实。而高利贷出借人希望借款人按约定支付高额利息并返还本金，目的是为了获取高额利息（ ）,正确,
当你的朋友突然使用qq或者微信向你借钱时，立刻使用QQ或者微信转账。,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
 当你在电商平台消费时，银行卡最安全的使用方式是专门办理一张银行卡，放入适当资金用于购物。,反诈防骗,易, 当你在电商平台消费时，银行卡最安全的使用方式是专门办理一张银行卡，放入适当资金用于购物。,正确,
 金融消费者在购买金融产品和接受金融服务过程中的财产安全由金融消费者自行负责。,金融基础知识,易, 金融消费者在购买金融产品和接受金融服务过程中的财产安全由金融机构负责。,错误,
 某人一年多未联系的好友通过QQ向其借钱，并称自己银行卡已挂失，让其将钱打到一陌生人的账户之上，陈某觉得朋友既然开口，必定有困难需要帮助，便将钱汇向对方提供的账户里,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
 收到“有人为你点歌，请回复……”的手机信息后，最好是不予理睬。,反诈防骗,易, 收到“有人为你点歌，请回复……”的手机信息后，最好是不予理睬。,正确,
 游戏账号充值及交易，在非正规平台进行交易，与对方进行交易。,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
 欲参加社会培训，只要看下培训方承诺的主要内容就可以了。,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
“天上不会掉馅饼，宣扬‘保本高收益’就是金融诈骗”的说法正确吗？,反诈防骗,易,“天上不会掉馅饼，宣扬‘保本高收益’就是金融诈骗”,正确,
“征信修复”不可信，任何人都无法删除或者修改信用报告上展示的正确信息，“征信修复”是骗局。,反诈防骗,易,无,正确,
《保险法》规定，投保人故意不履行如实告知义务的，保险人对于合同解除前发生的保险事故不承担赔偿或者给付保险金的责任。,金融基础知识,易,《保险法》第16条第4款规定：“投保人故意不履行如实告知义务的，保险人对于保险合同解除前发生的保险事故，不承担赔偿或者给付保险金的责任，并不退还保险费。,正确,
QQ或微信上收到好朋友借钱的消息，应电话联系该好友确定消息真假。,反诈防骗,易,为防诈骗，QQ或微信上收到好朋友借钱的消息应先电话确定消息真假，避免别人冒用好友头像或社交账号行骗，导致自己的钱财被骗。,正确,
办理停息停贷后便不会影响征信。,金融基础知识,易,选择停息后意味无法按时还款，这本身就会在征信记录中留下不良记录。,错误,
保险公司不得使用强制搭售、信息系统或者网页默认勾选等方式与投保人订立保险合同。,综合类,易,根据《保险销售行为管理办法》（2023年第2号令）第二十三条保险公司不得使用强制搭售、信息系统或者网页默认勾选等方式与投保人订立保险合同。,正确,
保险公司和商业银行应当在客户投诉、退保等事件发生的第一时间积极处理，属于哪个部门由哪个部门负责，不得相互推诿，避免产生负面影响使事态扩大。,金融消费者八项权益,易,无,错误,
保险公司可以在保险事故发生后以不同于核保时的标准重新对保险标的或者被保险人的有关情况进行审核。,金融基础知识,易,保险公司不得在保险事故发生后以不同于核保时的标准重新对保险标的或者被保险人的有关情况进行审核。,错误,
保险活动当事人行使权力、履行义务应当遵守诚实信用原则。,金融基础知识,易,无,正确,
保险机构作为企业，其从业人员在业交往中收送礼物不受规定限制。,金融基础知识,易,无,错误,
保险接触个人金融信息岗位的从业人员在上岗前，应当书面做出保密承诺。,个人信息保护,易,无,正确,
